'Marital status','Application mode','Application order',Course,'Daytime/evening attendance','Previous qualification','Previous qualification (grade)',Nacionality,Mother_qualification,Father_qualification,Mother_occupation,Father_occupation,'Admission grade',Displaced,'Educational special needs',Debtor,'Tuition fees up to date',Gender,'Scholarship holder','Age at enrollment','Curricular units 1st sem (credited)','Curricular units 1st sem (enrolled)','Curricular units 1st sem (evaluations)','Curricular units 1st sem (approved)','Curricular units 1st sem (grade)','Curricular units 1st sem (without evaluations)','Curricular units 2nd sem (credited)','Curricular units 2nd sem (enrolled)','Curricular units 2nd sem (evaluations)','Curricular units 2nd sem (approved)','Curricular units 2nd sem (grade)','Curricular units 2nd sem (without evaluations)','Unemployment rate','Inflation rate',GDP,Target
single,'1st phase - general contingent',1,'Advertising and Marketing Management',1,'Secondary education',139,Portuguese,'Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Personal Services; Security and Safety Workers and Sellers','Skilled Workers in Industry; Construction and Craftsmen',1.8736842105263154,1,0,0,1,0,0,0.09433962264150943,0.0,1.153846153846154,0.6666666666666666,1.153846153846154,3.2671080794701983,0.0,0.0,1.3043478260869565,1.0606060606060606,1.25,3.823076834852073,0.0,3.662790697674419,0.5555555555555556,3.2034346103038307,Graduate
single,'1st phase - general contingent',1,Nursing,1,'Secondary education',136,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Unskilled Workers','Unskilled Workers',1.2789473684210526,1,0,0,1,0,1,0.09433962264150943,0.0,1.5384615384615385,0.888888888888889,1.346153846153846,3.5004731125827817,0.0,0.0,1.7391304347826086,1.2121212121212122,1.75,3.557692302514793,0.0,2.9651162790697674,5.0,1.558784676354029,Graduate
single,'1st phase - general contingent',2,'Basic Education',1,'Secondary education',133,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Administrative staff','Unskilled Workers',1.8526315789473677,1,0,0,1,0,0,0.18867924528301885,0.0,1.153846153846154,0.6666666666666666,0.0,0.0,0.0,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,2.9651162790697674,5.0,1.558784676354029,Dropout
single,'Short cycle diploma holders',1,Tourism,1,'Professional higher technical course',110,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Secondary Education - 12th Year of Schooling or Eq.','Administrative staff','Skilled Workers in Industry; Construction and Craftsmen',0.8842105263157893,1,0,0,1,0,1,0.3773584905660377,0.0,1.153846153846154,0.7777777777777778,1.153846153846154,2.800378543046358,0.0,0.0,1.3043478260869565,1.2121212121212122,1.25,2.9615383931952683,0.0,0.7558139534883725,2.4444444444444446,5.0,Graduate
single,'1st phase - general contingent',1,'Veterinary Nursing',1,'Secondary education',149,Portuguese,'Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Personal Services; Security and Safety Workers and Sellers','Personal Services; Security and Safety Workers and Sellers',2.21578947368421,1,0,0,1,0,1,0.09433962264150943,0.0,0.9615384615384616,0.7777777777777778,0.7692307692307693,3.5099337748344372,0.0,0.0,1.0869565217391304,0.7575757575757576,1.25,3.23076915621302,0.0,1.8604651162790706,2.4444444444444446,3.8309114927344785,Graduate
single,'1st phase - general contingent',1,'Journalism and Communication',1,'Secondary education',127,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Unskilled Workers','Intermediate Level Technicians and Professions',1.3526315789473686,1,0,0,1,0,0,0.2830188679245283,0.0,1.153846153846154,0.6666666666666666,0.9615384615384616,3.496688741721854,0.0,0.0,1.3043478260869565,1.0606060606060606,0.0,0.0,0.0,4.593023255813954,3.9999999999999996,0.0,Dropout
single,'3rd phase - general contingent',1,'Social Service',1,'Secondary education',137,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Personal Services; Security and Safety Workers and Sellers','Installation and Machine Operators and Assembly Workers',2.2315789473684213,1,0,0,1,0,0,0.09433962264150943,0.0,1.153846153846154,1.1111111111111112,0.19230769230769232,3.178807947019868,0.0,0.0,1.3043478260869565,2.121212121212121,0.5,2.9615383931952683,0.0,1.8604651162790706,2.4444444444444446,3.8309114927344785,Enrolled
single,'2nd phase - general contingent',2,Nursing,1,'Secondary education',135,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Secondary Education - 12th Year of Schooling or Eq.','Personal Services; Security and Safety Workers and Sellers','Administrative staff',1.6999999999999997,1,0,0,1,0,0,0.09433962264150943,0.0,1.346153846153846,0.888888888888889,1.346153846153846,3.524834437086093,0.0,0.0,1.7391304347826086,1.2121212121212122,2.0,3.9159614480931975,0.0,4.593023255813954,3.9999999999999996,0.0,Graduate
single,'1st phase - general contingent',1,Equinculture,1,'Secondary education',137,Portuguese,'Higher Education - Degree','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Intermediate Level Technicians and Professions','Personal Services; Security and Safety Workers and Sellers',2.173684210526316,1,0,0,1,0,0,0.2830188679245283,0.0,0.9615384615384616,0.888888888888889,0.7692307692307693,3.3112582781456954,0.41666666666666663,0.0,1.0869565217391304,1.2121212121212122,1.0,3.2980768469674575,0.8333333333333333,1.8604651162790706,2.4444444444444446,3.8309114927344785,Graduate
single,'1st phase - general contingent',1,'Basic Education',1,'Secondary education',140,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Skilled Workers in Industry; Construction and Craftsmen','Skilled Workers in Industry; Construction and Craftsmen',1.557894736842105,1,0,0,1,0,0,0.09433962264150943,0.0,1.346153846153846,0.7777777777777778,1.153846153846154,3.0905078145695364,0.0,0.0,1.5217391304347827,1.2121212121212122,1.5,3.634615300739647,0.0,5.0,1.2222222222222223,2.0739762219286657,Enrolled
single,'1st phase - general contingent',3,'Animation and Multimedia Design',1,'Secondary education',122,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Secondary Education - 12th Year of Schooling or Eq.','Unskilled Workers','Installation and Machine Operators and Assembly Workers',1.331578947368421,0,0,0,1,0,1,0.3773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0348837209302326,1.5555555555555556,4.015852047556143,Graduate
single,'3rd phase - general contingent',4,'Oral Hygiene',1,'Secondary education',127,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Administrative staff','Skilled Workers in Industry; Construction and Craftsmen',1.4105263157894734,1,0,0,1,0,0,0.2830188679245283,0.0,1.346153846153846,1.5555555555555556,1.346153846153846,3.0298013245033113,0.0,0.0,1.7391304347826086,1.3636363636363635,2.0,3.075961467477813,0.0,2.9651162790697674,5.0,1.558784676354029,Enrolled
single,'1st phase - general contingent',4,Nursing,1,'Secondary education',142,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Representatives of the Legislative Power and Executive Bodies; Directors; Directors and Executive Managers','Representatives of the Legislative Power and Executive Bodies; Directors; Directors and Executive Managers',1.6052631578947367,1,0,0,1,0,0,0.09433962264150943,0.0,1.5384615384615385,1.3333333333333333,1.346153846153846,3.4058656953642386,0.0,0.0,1.7391304347826086,1.8181818181818183,1.75,3.4615384201183446,0.0,2.9651162790697674,5.0,1.558784676354029,Graduate
single,'1st phase - general contingent',4,'Advertising and Marketing Management',1,'Secondary education',125,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Administrative staff','Skilled Workers in Industry; Construction and Craftsmen',1.047368421052632,1,0,0,1,0,1,0.18867924528301885,0.0,1.153846153846154,0.888888888888889,1.153846153846154,3.5430463576158937,0.0,0.0,1.3043478260869565,1.0606060606060606,1.5,3.307692154437874,0.0,2.0348837209302326,1.5555555555555556,4.015852047556143,Graduate
single,'1st phase - general contingent',1,Nursing,1,'Secondary education',126,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Intermediate Level Technicians and Professions','Skilled Workers in Industry; Construction and Craftsmen',1.5210526315789477,0,0,0,1,0,0,0.18867924528301885,0.0,1.346153846153846,0.888888888888889,1.153846153846154,3.522295894039735,0.0,0.0,1.7391304347826086,1.3636363636363635,1.75,3.7999999892307694,0.0,2.0348837209302326,1.5555555555555556,4.015852047556143,Graduate
single,'1st phase - general contingent',1,'Social Service',1,'Secondary education',151,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Unskilled Workers','Unskilled Workers',3.2631578947368425,1,0,1,1,0,1,0.09433962264150943,0.0,1.153846153846154,0.888888888888889,0.9615384615384616,3.072847682119205,0.0,0.0,1.3043478260869565,1.8181818181818183,1.0,2.9615383931952683,0.0,0.0,3.777777777777778,2.892998678996037,Enrolled
single,'2nd phase - general contingent',2,'Social Service',1,'Secondary education',115,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Skilled Workers in Industry; Construction and Craftsmen','Installation and Machine Operators and Assembly Workers',1.1263157894736846,1,0,0,1,0,0,0.3773584905660377,0.0,1.153846153846154,1.0,1.153846153846154,3.0132450331125824,0.0,0.0,1.3043478260869565,1.3636363636363635,1.5,3.5769229174556254,0.0,5.0,1.2222222222222223,2.0739762219286657,Graduate
single,'1st phase - general contingent',1,'Veterinary Nursing',1,'Secondary education',138,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Intermediate Level Technicians and Professions','Intermediate Level Technicians and Professions',1.8947368421052633,1,0,0,1,0,0,0.09433962264150943,0.0,0.9615384615384616,1.0,0.9615384615384616,3.355408476821192,0.8333333333333333,0.0,1.0869565217391304,1.0606060606060606,1.0,3.4999999192307714,0.0,1.0465116279069773,0.0,0.6208718626155876,Enrolled
single,'1st phase - general contingent',1,Management,1,'Secondary education',135,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Secondary Education - 12th Year of Schooling or Eq.','Unskilled Workers','Unskilled Workers',1.426315789473684,1,0,0,1,0,0,0.2830188679245283,0.0,0.9615384615384616,0.6666666666666666,0.9615384615384616,3.178807947019868,0.0,0.0,1.0869565217391304,0.9090909090909092,1.25,3.320512654142016,0.0,5.0,1.2222222222222223,2.0739762219286657,Graduate
single,'2nd phase - general contingent',2,Nursing,1,'Secondary education',127,Portuguese,'Higher Education - Degree','Higher Education - Degree','Representatives of the Legislative Power and Executive Bodies; Directors; Directors and Executive Managers','Armed Forces Professions',1.2526315789473683,1,0,0,1,1,0,0.18867924528301885,0.0,1.346153846153846,1.0,1.153846153846154,3.426048476821192,0.0,0.0,1.5217391304347827,1.0606060606060606,1.5,3.6929487224704145,0.0,5.0,1.2222222222222223,2.0739762219286657,Enrolled
single,'Technological specialization diploma holders',1,Agronomy,1,'Technological specialization course',150,Portuguese,'Higher Education - Master','Higher Education - Doctorate','Administrative staff','Specialists in Intellectual and Scientific Activities',2.8947368421052633,0,0,0,1,1,0,0.3773584905660377,0.0,1.153846153846154,1.6666666666666665,0.9615384615384616,3.1409650331125825,0.0,0.0,1.3043478260869565,2.5757575757575757,1.25,2.8461538958579875,0.0,5.0,1.2222222222222223,2.0739762219286657,Enrolled
single,'Change of institution/course',1,'Communication Design',1,'Secondary education',125,Portuguese,'Professional higher technical course','Higher Education - Degree','Specialists in information and communication technologies (ICT)','Specialists in finance; accounting; administrative organization; public and commercial relations',1.8421052631578947,1,0,0,1,1,0,0.2830188679245283,0.5,1.153846153846154,0.7777777777777778,1.153846153846154,3.3995584105960264,0.0,0.0,1.3043478260869565,1.3636363636363635,1.0,3.6076922244378724,0.0,0.7558139534883725,2.4444444444444446,5.0,Graduate
single,'1st phase - general contingent',1,Management,1,'Secondary education',143,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Secondary Education - 12th Year of Schooling or Eq.','Administrative staff','Farmers and Skilled Workers in Agriculture; Fisheries and Forestry',2.3052631578947373,0,0,0,0,1,0,0.09433962264150943,0.0,0.9615384615384616,1.0,0.576923076923077,3.002207417218543,0.0,0.0,1.0869565217391304,1.2121212121212122,0.5,3.634615300739647,0.0,0.7558139534883725,2.4444444444444446,5.0,Enrolled
single,'3rd phase - general contingent',1,'Social Service (evening attendance)',0,'Secondary education',138,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Secondary Education - 12th Year of Schooling or Eq.','Unskilled Workers','Personal Services; Security and Safety Workers and Sellers',2.0789473684210527,1,0,0,1,0,0,0.18867924528301885,0.0,1.153846153846154,0.6666666666666666,1.153846153846154,3.355408476821192,0.0,0.0,1.3043478260869565,1.2121212121212122,1.5,3.87019221838018,0.0,2.790697674418605,1.4444444444444446,3.8639365918097757,Graduate
single,'1st phase - general contingent',1,'Management (evening attendance)',0,'Secondary education',130,Portuguese,'Higher Education - Bachelor Degree','Basic education 1st cycle (4th/5th year) or equiv.','Intermediate Level Technicians and Professions','Unskilled Workers',1.9157894736842107,0,0,0,1,1,0,1.6037735849056602,0.0,0.9615384615384616,0.6666666666666666,0.9615384615384616,3.28476821192053,0.0,0.0,1.0869565217391304,1.3636363636363635,1.25,3.615384416568052,0.0,3.662790697674419,0.5555555555555556,3.2034346103038307,Graduate
single,'Over 23 years old',1,'Biofuel Production Technologies',1,'Secondary education',130,Portuguese,'Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Unskilled Workers','Farmers and Skilled Workers in Agriculture; Fisheries and Forestry',0.39473684210526316,0,0,1,0,1,0,1.8867924528301887,0.0,1.346153846153846,0.7777777777777778,0.0,0.0,0.0,0.0,1.5217391304347827,1.0606060606060606,0.25,2.692307630177517,0.0,0.7558139534883725,2.4444444444444446,5.0,Dropout
single,'Over 23 years old',1,'Informatics Engineering',1,'11th year of schooling - not completed',133.1,Portuguese,Unknown,'Basic education 1st cycle (4th/5th year) or equiv.',Student,Student,1.7789473684210533,1,0,0,1,1,0,2.452830188679245,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,0.0,0.0,0.0,0.0,0.0,3.777777777777778,2.892998678996037,Dropout
single,'Change of course',1,Management,1,'Secondary education',140,Portuguese,'Basic education 1st cycle (4th/5th year) or equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Farmers and Skilled Workers in Agriculture; Fisheries and Forestry','Farmers and Skilled Workers in Agriculture; Fisheries and Forestry',1.468421052631579,0,0,0,1,0,0,3.584905660377358,0.0,0.9615384615384616,1.1111111111111112,0.19230769230769232,2.6490066225165565,0.0,0.0,1.0869565217391304,1.2121212121212122,0.5,3.23076915621302,0.8333333333333333,5.0,1.2222222222222223,2.0739762219286657,Dropout
divorced,'Over 23 years old',1,'Management (evening attendance)',0,'Secondary education',120,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Unskilled Workers','Intermediate Level Technicians and Professions',0.9947368421052634,1,0,0,1,0,0,2.0754716981132075,0.0,0.9615384615384616,0.888888888888889,0.9615384615384616,2.9139072847682117,0.0,0.0,1.0869565217391304,0.7575757575757576,1.25,3.1230768510059193,0.0,0.0,3.777777777777778,2.892998678996037,Graduate
single,'Technological specialization diploma holders',1,Equinculture,1,'Technological specialization course',120,Spanish,'Higher Education - Master','Higher Education - Master','Intermediate Level Technicians and Professions','Farmers and Skilled Workers in Agriculture; Fisheries and Forestry',1.3157894736842104,0,0,1,0,0,0,0.2830188679245283,0.5,1.153846153846154,1.4444444444444442,0.576923076923077,3.0905078145695364,0.0,0.2631578947368421,1.3043478260869565,1.6666666666666665,0.75,3.23076915621302,0.0,2.790697674418605,1.4444444444444446,3.8639365918097757,Dropout
single,'1st phase - general contingent',5,'Journalism and Communication',1,'Secondary education',126,Portuguese,'Higher Education - Degree','Higher Education - Degree','Specialists in Intellectual and Scientific Activities','Specialists in Intellectual and Scientific Activities',1.3736842105263156,0,0,1,1,0,0,0.09433962264150943,0.0,1.153846153846154,0.6666666666666666,0.7692307692307693,3.377483443708609,0.0,0.0,1.0869565217391304,0.7575757575757576,0.0,0.0,0.0,2.9651162790697674,5.0,1.558784676354029,Dropout
single,'1st phase - general contingent',2,Management,1,'Secondary education',133,Portuguese,'Higher Education - Degree','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Specialists in Intellectual and Scientific Activities','Skilled Workers in Industry; Construction and Craftsmen',1.3368421052631583,1,0,0,1,0,0,0.4716981132075472,0.0,0.9615384615384616,0.5555555555555556,0.9615384615384616,3.9205298013245033,0.0,0.0,1.0869565217391304,0.7575757575757576,1.25,4.2538460556804765,0.0,0.7558139534883725,2.4444444444444446,5.0,Graduate
single,'1st phase - general contingent',6,Nursing,1,'Secondary education',103,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Higher Education - Degree','Specialists in Intellectual and Scientific Activities','Specialists in Intellectual and Scientific Activities',0.29473684210526285,1,1,0,1,0,0,0.4716981132075472,0.0,1.346153846153846,1.0,0.9615384615384616,3.68953642384106,0.0,0.0,1.7391304347826086,1.3636363636363635,1.75,3.8615383339645004,0.0,2.0348837209302326,1.5555555555555556,4.015852047556143,Graduate
single,'2nd phase - general contingent',1,'Journalism and Communication',1,'Secondary education',120,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Personal Services; Security and Safety Workers and Sellers','Personal Services; Security and Safety Workers and Sellers',1.3894736842105266,0,0,0,0,0,0,0.2830188679245283,0.0,1.153846153846154,0.7777777777777778,0.7692307692307693,3.443708609271523,0.0,0.0,1.3043478260869565,1.0606060606060606,1.25,3.7153845296449726,0.0,2.790697674418605,1.4444444444444446,3.8639365918097757,Dropout
single,'Over 23 years old',1,'Management (evening attendance)',0,'Secondary education',133.1,Portuguese,'Basic education 1st cycle (4th/5th year) or equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Unskilled Workers','Unskilled Workers',0.773684210526316,0,0,0,1,0,0,1.1320754716981132,0.0,0.9615384615384616,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,0.0,0.0,0.0,0.0,5.0,1.2222222222222223,2.0739762219286657,Dropout
single,'2nd phase - general contingent',1,'Management (evening attendance)',0,'Secondary education',154,Portuguese,'Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Administrative staff','Personal Services; Security and Safety Workers and Sellers',2.0578947368421048,0,0,0,1,0,0,0.660377358490566,0.0,0.9615384615384616,1.0,0.38461538461538464,3.0463576158940397,0.0,0.0,1.0869565217391304,1.6666666666666665,0.75,3.858974180177519,0.41666666666666663,0.0,3.777777777777778,2.892998678996037,Enrolled
single,'2nd phase - general contingent',2,'Social Service',1,'Secondary education',130,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Unskilled Workers','Unskilled Workers',1.7157894736842103,1,0,0,1,0,0,0.09433962264150943,0.0,1.153846153846154,0.6666666666666666,1.153846153846154,3.0905078145695364,0.0,0.0,1.3043478260869565,1.2121212121212122,1.25,3.5538460718343217,0.0,2.0348837209302326,1.5555555555555556,4.015852047556143,Graduate
single,'2nd phase - general contingent',6,Nursing,1,'Secondary education',132,Portuguese,'Basic education 1st cycle (4th/5th year) or equiv.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Skilled Workers in Industry; Construction and Craftsmen','Skilled Workers in Industry; Construction and Craftsmen',1.9684210526315793,1,0,0,1,0,1,0.4716981132075472,0.0,1.346153846153846,0.888888888888889,1.153846153846154,3.580574039735099,0.0,0.0,1.7391304347826086,1.3636363636363635,1.75,3.7076923375147923,0.0,2.0348837209302326,1.5555555555555556,4.015852047556143,Graduate
single,'Technological specialization diploma holders',1,'Social Service (evening attendance)',0,'Technological specialization course',130,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Unskilled Workers','Unskilled Workers',2.0210526315789474,0,0,0,1,0,1,0.3773584905660377,0.75,1.153846153846154,0.6666666666666666,1.153846153846154,3.0463576158940397,0.0,0.5263157894736842,1.3043478260869565,1.0606060606060606,1.5,3.5769229174556254,0.0,2.790697674418605,1.4444444444444446,3.8639365918097757,Graduate
single,'1st phase - general contingent',1,'Social Service',1,'Secondary education',139,Portuguese,'Basic education 1st cycle (4th/5th year) or equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Unskilled Workers','Unskilled Workers',1.6368421052631577,0,0,0,1,0,1,0.18867924528301885,0.0,1.153846153846154,0.7777777777777778,0.9615384615384616,3.2671080794701983,0.0,0.0,1.3043478260869565,1.0606060606060606,1.5,3.4551280356508918,0.0,2.9651162790697674,5.0,1.558784676354029,Graduate
single,'Over 23 years old',1,Tourism,1,'Secondary education',130,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Unskilled Workers','Skilled Workers in Industry; Construction and Craftsmen',0.9736842105263157,0,0,0,1,0,1,0.660377358490566,0.0,1.153846153846154,0.6666666666666666,1.153846153846154,3.6203091390728477,0.0,0.0,1.3043478260869565,0.9090909090909092,1.5,3.814102565828403,0.0,2.790697674418605,1.4444444444444446,3.8639365918097757,Graduate
